PlantType,GSRN,MainEnergy,PriceArea,MunicipalityCode,MeasurepointChildType,MeasurepointType,ProductType,Qnt,TimestampUTC,_dp_datetime_utc
Centralt værk,570715000000082023,Naturgas,DK2,101,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000082030,Gasolie,DK2,250,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000082047,Gasolie,DK2,250,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000082054,Gasolie,DK2,250,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000083020,Naturgas,DK2,400,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000083037,Stenkul,DK2,400,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000083044,Fuelolie,DK2,400,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Centralt værk,570715000000175336,Diesel,DK1,607,E18,E18,CEN,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000000,Naturgas,DK2,306,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000024,Naturgas,DK2,201,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000048,Naturgas,DK2,250,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000062,Aff. Husholdn.,DK2,370,E18,E18,DEC,9723.28,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000116,Naturgas,DK2,173,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000123,Naturgas,DK2,217,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000130,Naturgas,DK2,999,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000161,Naturgas,DK2,250,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000178,Halm,DK2,320,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000208,Halm,DK2,330,E18,E18,DEC,2527.9,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000239,Naturgas,DK2,316,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000284,Naturgas,DK2,201,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000291,Naturgas,DK2,316,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000307,Naturgas,DK2,390,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000314,Naturgas,DK2,329,E18,E18,DEC,0.08,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000321,Naturgas,DK2,269,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000338,Naturgas,DK2,340,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000352,Biogas gylle,DK2,330,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000369,Naturgas,DK2,306,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000413,Naturgas,DK2,210,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000420,Naturgas,DK2,390,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010000437,Naturgas,DK2,250,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001038,Naturgas,DK2,270,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001168,Naturgas,DK2,320,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001175,Naturgas,DK2,340,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001182,Naturgas,DK2,350,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001199,Naturgas,DK2,240,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001205,Naturgas,DK2,219,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001212,Naturgas,DK2,250,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001250,Biogas gylle,DK2,326,E18,E18,DEC,511.814,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001502,Naturgas,DK2,270,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001557,Naturgas,DK2,370,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001632,Naturgas,DK2,370,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001694,Naturgas,DK2,219,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001700,Biogas gylle,DK2,376,E18,E18,DEC,1493.106,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001717,Naturgas,DK2,370,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001755,Naturgas,DK2,306,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001762,Naturgas,DK2,306,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001861,Naturgas,DK2,219,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010001878,Halm,DK2,376,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010004503,Naturgas,DK2,330,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570714700010005029,Biogas gylle,DK2,316,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000056444,Aff. Husholdn.,DK1,661,E18,E18,DEC,15515.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000064821,Naturgas,DK1,791,E18,E18,DEC,0.757,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000064982,Naturgas,DK1,820,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065019,Naturgas,DK1,849,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065026,Naturgas,DK1,849,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065033,Naturgas,DK1,849,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065057,Naturgas,DK1,849,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065071,Naturgas,DK1,860,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065118,Naturgas,DK1,860,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065132,Naturgas,DK1,860,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065149,Naturgas,DK1,813,E18,E18,DEC,9.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065156,Naturgas,DK1,860,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
